,Price,Prediction,error_percentage
50058,590000,521700.0,-11.576271186440678
51564,610000,576145.27,-5.549955737704915
13553,851500,802894.0,-5.708279506752789
42713,3488800,3824504.88,9.622359550561795
5471,695000,676457.5,-2.6679856115107916
41041,2651500,2332600.0,-12.02715444088252
3614,665000,638405.51,-3.999171428571427
15999,480000,547462.49,14.054685416666665
18722,950000,993290.0,4.556842105263158
48585,569500,597066.5,4.840474100087796
31848,1480000,1329865.0,-10.144256756756757
51116,605000,578400.0,-4.3966942148760335
54449,436000,457312.0,4.888073394495414
21333,1039900,957833.76,-7.8917434368689285
12573,830000,826286.41,-0.4474204819277069
12347,825000,935438.24,13.386453333333332
37355,1900000,1883720.0,-0.856842105263158
2751,650000,673792.5,3.6603846153846153
2385,648000,633867.0,-2.1810185185185187
36351,1798000,2252484.0,25.277196885428253
50833,600000,562095.4,-6.317433333333329
3422,660000,697534.9,5.687106060606064
4630,680000,741204.0,9.000588235294117
4585,680000,652737.0,-4.009264705882353
8220,740000,710985.87,-3.920828378378379
47679,555000,583591.0,5.151531531531531
49997,590000,561952.0,-4.753898305084745
1460,635000,711300.0,12.015748031496063
25374,1225000,1228837.36,0.3132538775510288
53815,420000,443954.0,5.703333333333333
28752,1385000,1710670.0,23.51407942238267
41303,2750000,2859448.0,3.9799272727272723
31876,1480000,1677707.0,13.35858108108108
33999,1600000,1566988.0,-2.06325
36715,1828000,1738391.0,-4.9020240700218825
50538,598900,603886.0,0.8325262982133912
11264,799000,799000.0,0.0
34068,1610000,1839085.5,14.228913043478261
9317,759900,767060.0,0.9422292406895645
24687,1198000,1166048.79,-2.6670459098497465
10498,783800,796912.8,1.6729778004593066
4190,675000,591642.76,-12.349220740740739
47399,549000,593230.0,8.05646630236794
6765,715000,734581.6,2.7386853146853114
25652,1239000,1295236.81,4.538887005649722
20637,1000000,914181.99,-8.581801000000002
33016,1550000,1587173.0,2.3982580645161287
2332,647500,689725.0,6.521235521235521
12591,830000,839113.0,1.0979518072289156
46343,533000,531869.0,-0.21219512195121953
6313,706000,789364.19,11.80795892351274
48472,567900,550362.71,-3.088094734988561
35726,1738000,1650793.88,-5.0176133486766465
37150,1880000,1715186.37,-8.766682446808504
6560,710000,773143.0,8.893380281690142
34320,1630000,1614776.57,-0.9339527607361923
45647,6880000,8167457.0,18.713037790697673
42366,3250000,2925377.46,-9.988385846153847
4376,678000,610760.0,-9.91740412979351
1362,468000,471379.0,0.722008547008547
48248,564900,579350.0,2.5579748628075762
49089,575982,557570.16,-3.196599893746674
26728,1288000,1330090.0,3.2678571428571432
35542,1717500,1372180.0,-20.105967976710335
38861,2168000,2336827.76,7.787258302583015
22445,1088000,1088665.0,0.06112132352941176
32032,1490000,1609161.71,7.997430201342278
4364,678000,604252.0,-10.877286135693215
46954,540000,573818.0,6.262592592592593
2304,646500,716809.88,10.875464810518176
