,Price,Prediction,error_percentage
4040,1089000,1076355.6791335444,-1.1610946617498217
3372,978000,1047721.0988724842,7.128946714977932
5236,1529000,1918331.7115030328,25.46315967972746
440,994900,951494.820369251,-4.362768080284354
2342,552000,629304.8210516832,14.004496567333907
4229,657000,607863.2174719953,-7.478962333029639
200,1328000,1364409.6359637654,2.7416894551028195
4660,1500000,1025882.927158114,-31.607804856125732
4279,418800,590245.4570165217,40.9373106534197
3080,1300000,2126638.8845661953,63.58760650509194
1799,2588000,1970156.48684225,-23.87339695354521
1793,6880000,7685201.795539188,11.70351447004634
417,668000,658448.7305562794,-1.429830755047991
2022,1858000,2056717.6983093407,10.695247487047403
2353,1999000,2470881.8036938477,23.605893131258014
3778,1358000,1842385.151340283,35.66900967159668
848,480000,465862.8877411929,-2.9452317205848155
1206,838000,854591.854577992,1.979934913841527
2941,1200000,1372092.5080157635,14.341042334646955
4670,409999,452775.880562242,10.433410950329636
4208,629000,590246.8927740452,-6.1610663316303285
1171,840000,1251279.5375173881,48.96184970445097
1165,2430000,4049418.469638666,66.6427353760768
1321,910500,897869.7839887395,-1.3871736420934124
2853,808000,712482.9841506426,-11.821412852643236
2585,1699000,1773327.6044009966,4.374785426780258
1616,505100,545572.372645291,8.012744534803213
783,715000,739836.1565617758,3.473588330318298
522,1574000,1403592.8295199564,-10.826376777639366
5358,476000,354845.9677274812,-25.45252778834428
2061,479000,397841.11664282664,-16.943399448261662
1390,669000,667058.7533014028,-0.2901714048725281
1427,1175000,1027598.0801164823,-12.54484424540576
5117,1890000,1639149.4008195691,-13.272518475155074
106,1515000,1409031.1879931358,-6.994641056558695
5180,5780000,5214055.319362454,-9.791430460857194
1684,551904,558690.297807241,1.2296156228693713
1485,1490000,1251788.6956799058,-15.987335860409004
2227,705900,679895.3300946613,-3.683902805686169
2311,650000,607246.9957542687,-6.577385268574043
2842,622000,668055.0795138265,7.404353619586258
2080,1289000,1052051.6874909601,-18.38233611396741
1496,645000,613720.4100807272,-4.849548824693459
16,409900,470072.71409393457,14.679852181979648
927,630000,640302.1280048424,1.6352584134670536
2042,839000,610247.2542076991,-27.264927984779607
1728,6680000,4442550.546234173,-33.49475230188364
793,1150000,964402.5808127127,-16.138906016285855
644,666000,688216.5913459945,3.3358245264256006
1590,723000,719622.9698233017,-0.46708577824320147
4090,2980000,1887081.5150844993,-36.67511694347318
5352,429900,550806.3967339585,28.124307218878464
989,900000,927543.9446388825,3.0604382932091703
280,860000,940452.3999658823,9.354930228590966
1619,665000,626384.3702959181,-5.806861609636379
1408,490000,537705.590776968,9.735834852442458
7,540000,556400.3097106016,3.037094390852144
4548,690000,799266.8344839705,15.83577311361892
5228,820000,1004721.0695626829,22.526959702766206
5366,1160000,1145659.829318958,-1.2362216104346464
175,880000,784004.011646212,-10.908635040203187
3352,625000,584224.3631844429,-6.524101890489142
3358,1150000,1315736.5921064962,14.411877574477932
2822,908000,829952.6211854763,-8.595526301158998
2399,449900,520696.7881264378,15.736116498430274
1359,2042000,2086875.3831641679,2.197619155933784
860,440000,409750.7987767139,-6.87481845983775
3120,795000,909157.4953085228,14.359433372141236
552,490000,520300.08237397496,6.183690280403054
1845,1525000,1452757.28863482,-4.737226974765908
3088,998700,1176060.7508695254,17.75916199754935
2396,739000,726230.5185896948,-1.7279406509208723
4983,3475000,2628986.9941897867,-24.345698008927
948,609900,774935.5203310646,27.059439306618234
3519,813000,791607.1261561738,-2.63134979628859
3281,895000,1043452.1333848082,16.586830545788626
4260,1382000,1698640.7605433923,22.91177717390682
438,681000,751535.8857374294,10.35769247245659
4750,935000,1199778.8943600608,28.318598327279233
3770,650000,759453.359539342,16.838978390668
2329,1771000,1508780.3949517386,-14.806301809613853
2013,1873000,1871274.18419558,-0.09214179414949487
2111,538095,689858.2498135897,28.20380226792476
1403,633000,766404.3715470377,21.074940212802172
249,2225000,3085695.322623982,38.682935848268855
1339,4998000,5129005.8794265855,2.621166054953692
4612,1650000,1353842.570573478,-17.94893511675891
4594,625000,650672.2118340485,4.1075538934477605
414,832500,824119.0847057599,-1.0067165518606742
3028,1200000,1120221.7976521207,-6.648183528989941
2945,2650000,2539505.970584974,-4.169586015661352
4862,1515800,1722536.7897497627,13.638790721055729
1039,1900000,2142449.694730477,12.760510248972471
4215,779000,1118244.6412845114,43.54873443960352
2680,1299000,1608771.2846016223,23.846904126375847
4863,550000,579687.2644709941,5.397684449271659
4504,1520000,1634062.5446238064,7.504114777881998
2977,1650000,2152767.7137413924,30.470770529781355
991,645000,566821.3000652202,-12.120728672058881
291,442000,467647.48697066214,5.802598862140756
949,643000,605618.2193175842,-5.813651739100438
3323,713000,755866.8166560974,6.012176249102023
3078,655000,627126.8103225124,-4.255448805723297
1432,479800,459635.0433870454,-4.202783787610382
4253,700000,836813.2668464088,19.544752406629833
5035,595000,548510.4597790851,-7.81336810435544
2460,2305000,1727041.9052923727,-25.074103891871037
4823,1331000,1462948.8286830264,9.913510795118436
5440,745000,726251.3847681809,-2.516592648566322
4652,435000,448739.5435885815,3.1585157674899986
1912,528000,619262.4893418087,17.28456237534256
5209,790000,773528.5743375323,-2.0849905901857877
4404,1290000,1258250.2589201557,-2.4612202387476203
576,495000,505458.3464407285,2.112797260753237
2024,785000,833789.6039972753,6.21523617799686
804,425000,484877.70400722866,14.088871531112627
3089,720000,651319.1338584132,-9.5390091863315
3833,1700000,1284515.916135143,-24.44024022734453
3290,407900,426521.12703698216,4.565120626864957
313,1325000,830158.4580449235,-37.34653146830766
97,1699000,1856513.773417178,9.270969594889822
2931,770000,1164542.0483918877,51.23922706388152
1180,1315000,1137920.7241256852,-13.466104629225462
5379,999000,756237.7577709258,-24.30052474765508
950,2228800,2802390.6999874455,25.735404701518554
4302,2500000,1940875.1759115176,-22.364992963539297
1145,2799000,2103579.9151805495,-24.845304923881763
708,485000,506572.6521449782,4.447969514428489
2005,698500,669068.1311146634,-4.21358180176615
3126,558000,677679.696006868,21.447974194779217
4940,413500,483993.797613503,17.048076811004353
5343,760000,910978.7744405381,19.86562821586028
1209,538500,597486.8052978958,10.953909990324197
3361,550000,543639.9235468617,-1.1563775369342288
4405,3188888,3659554.503496027,14.759580878852663
1620,3099000,2619301.258805635,-15.479146214726205
3959,3150000,2931759.273093264,-6.928277044658284
3967,1758000,1437158.1872153962,-18.250387530409775
4765,925000,931659.0259972712,0.719894702407695
1356,1699000,2068056.4024074299,21.721977775599168
455,910000,792374.3429380486,-12.925896380434216
4757,1315000,1265759.7591305582,-3.744505009083024
4844,428000,531609.4761150917,24.20782152221769
2918,1980000,1547240.3906975344,-21.856545924366948
1116,720000,698950.0720961232,-2.9236010977606606
5009,404800,447686.12761076813,10.594399113332049
5396,1360000,1964593.0053099743,44.45536803749811
2479,607000,650959.8131290869,7.242143843342152
5428,1698000,2201201.3050624575,29.634941405327293
1027,841800,757257.7013157345,-10.043038570238236
2469,880000,1181711.7317869235,34.28542406669585
1734,658000,641805.0322151784,-2.4612413046841395
3275,840000,748355.7648163752,-10.91002799805057
1318,685000,743225.2537627143,8.500037045651727
1997,811900,761377.711426194,-6.222723066117263
634,1029000,1015960.7307338916,-1.2671787430620407
4644,489000,574999.1271235441,17.586733563096953
1428,2879000,2932852.5205127276,1.870528673592482
3305,1551000,1594815.4864732265,2.8249830092344586
627,3678000,3438715.2970950897,-6.505837490617464
1789,490000,585856.2526504279,19.562500540903645
876,3788000,3424375.0407468774,-9.599391743746635
2274,435000,582467.0678092327,33.90047535844431
1941,1040000,1171468.1563881368,12.641168883474691
3412,506000,535345.9066086469,5.799586286293844
2540,1765000,2375519.335441983,34.59033061994237
1601,865000,873273.3356340401,0.9564549865942271
2119,900100,1411646.3494983024,56.83216859219002
1233,1720000,1690779.1237704826,-1.6988881528789184
4876,849900,824590.3505011398,-2.9779561711801668
3438,510000,513451.49135853566,0.6767630114775794
36,1175000,802684.9951194768,-31.68638339408708
4470,7038000,8686284.571965514,23.41978647293995
4136,790000,755039.8203595028,-4.425339194999645
3627,580000,687378.6765227445,18.513564917714564
3151,1700000,1423610.5987630482,-16.258200072761873
1730,1349900,2623281.68461435,94.33155675341507
3050,1399000,1758929.5758769466,25.727632299996177
382,849000,897706.0321917464,5.736870693963063
2004,3900000,3719874.176749545,-4.618610852575766
2128,949000,1129145.9868296487,18.98271726339818
4459,529000,499617.93158036587,-5.554266241896811
1295,1228000,1039445.4873284224,-15.354602009086127
4102,1082000,1053638.3783603148,-2.621221963002333
3442,4880000,4083342.804559808,-16.324942529512125
4733,1239900,1593241.6021147305,28.49758868575938
1353,1299999,1244085.0997541584,-4.301072558197475
3586,635000,702915.9249473034,10.695421251543838
1475,520000,497677.0210182352,-4.29288057341631
4044,640000,632912.5817033029,-1.1074091088589193
2878,624900,707154.5334904001,13.162831411489847
2912,1875000,1686018.6545278814,-10.079005091846325
308,1207000,1077815.0893467613,-10.702975199108423
91,680000,722428.3587414797,6.2394645208058375
917,920000,730666.4648785893,-20.57973207841421
586,427000,502388.2280238799,17.655322722220124
2993,477500,564123.6307638618,18.1410745055208
5022,689000,676929.8426179237,-1.75183706561339
4599,834000,874783.5087433616,4.890108962033762
2154,1363000,1247039.6023697823,-8.507732768174447
3301,462000,501496.65853204834,8.549060288322153
2833,400000,455798.5399452662,13.949634986316553
5101,490000,502463.2990121855,2.5435304106500984
281,918000,840165.9458008478,-8.478655141519843
380,698000,712874.9006498753,2.131074591672677
4276,1899000,1834934.8345902537,-3.3736264038834305
2639,1290000,1468922.4066306297,13.869954002374394
1489,625000,521671.45711408876,-16.5325668617458
2606,1015000,1247486.6939029864,22.905092995368115
782,1408000,1333119.47037105,-5.318219433874286
1861,606000,850740.3301514697,40.38619309430192
2778,907900,823856.7049611238,-9.256888978838665
1364,1141714,941287.0534873662,-17.55491712571045
3934,959000,828307.0396795896,-13.628045914537063
1750,730000,694239.9166608156,-4.898641553312933
1573,520000,497467.79395121464,-4.333116547843338
2478,765000,600822.3653075438,-21.461128717968133
3198,640000,682503.5838971036,6.641184983922431
1449,1590000,1391438.7032666458,-12.488131870022277
5125,633000,992518.0105434554,56.795894240672254
2360,730000,795219.8708458553,8.93422888299388
575,1078000,1129450.293559019,4.7727545045472155
4374,1149900,1117095.282308235,-2.8528322194769054
168,2908000,1636451.4838957167,-43.725877445126656
3501,610000,772588.1433879666,26.653793998027304
1464,878000,803168.873132683,-8.522907388077108
1493,3600000,3329810.2675759727,-7.505270345111869
1759,2850000,4106040.9235016177,44.071611350933956
2239,495000,565923.1283693208,14.327904721074901
1544,1138000,1483272.9123505172,30.3403262170929
1602,1338000,1350409.8421184577,0.9274919371044587
4531,634000,586046.6870604448,-7.563614028321002
3017,425000,472933.25303918414,11.278412479808035
4907,653500,639124.1910845881,-2.199817737629983
3764,475000,499197.10094280855,5.094126514275485
4127,1235900,1169424.69448664,-5.378696133454168
2208,950000,965484.3938066247,1.62993619017102
2587,587000,594192.1272340743,1.2252346224998787
557,405000,461588.38270871755,13.972440174991988
4031,602000,595401.1891087077,-1.0961479885867593
4904,1399000,1468024.5019972448,4.933845746765173
3012,3680000,3982046.2038604952,8.207777278817806
4798,570000,647687.9585695069,13.629466415702963
2408,2250000,2216122.666388512,-1.5056592716216834
3316,630000,648035.5772969017,2.862790047127258
3437,670000,5140383.030903387,667.2213478960279
3256,419900,457097.8100921586,8.858730672102553
784,1600000,2272040.399395106,42.00252496219412
2740,3498000,2963945.3357964386,-15.267428936636977
3006,1350000,1374399.8679141698,1.8073976232718367
369,1450000,1297861.4296049252,-10.49231519966033
2289,517000,470683.2787603252,-8.958746854869396
4922,898000,778449.0044058373,-13.31302846260164
207,3280000,2658251.3522768314,-18.955751454974653
1157,695000,725867.4735886017,4.4413631062736245
3294,475000,494809.315051892,4.170382116187793
4588,495000,490194.97438052495,-0.9707122463585969
1115,500000,529757.7068349059,5.951541366981179
3219,740000,844226.5030598657,14.084662575657521
2628,1880000,1838839.8229590815,-2.1893711191977925
4022,1460000,2081266.5823104095,42.552505637699284
2663,1091000,1044339.2376818683,-4.276880139150481
3317,729900,664871.878631739,-8.90918226719565
4879,629900,849481.3656322287,34.85971830960925
4811,1875000,1932718.0362757673,3.0782952680409204
4501,1266000,1446190.08400577,14.233024013094001
2021,516969,1054887.5068430083,104.05237196872702
2526,725100,604278.1042659188,-16.662790750804188
2487,1699900,1990035.8903033668,17.067821066143114
443,948800,887116.0454476133,-6.501259965470769
4579,1905000,1556405.6625331624,-18.2989153525899
3421,1188000,1010277.4142441993,-14.959813615808141
3774,690000,646348.4466049154,-6.32631208624414
5319,1760000,1819515.2650069336,3.381549148121227
5085,547000,531519.4095799371,-2.830089656318626
4828,630000,704520.7678481808,11.828693309235055
